,tweet,depressed
439,otimo dia,1
440,minha vida eh uma PIADA,1
441,minha vida eh uma desgraça,1
442,meu deus eu to ficando louco,1
443,FODA SE,1
444,bom dia kebas,1
445,Sem tempo irmão,1
446,puta q pariu q merda ta acontecendo com a internet hoje,1
447,eh um controle ou um iphone,1
448,bom dia,1
449,sai pra usar meus últimos 10 minutos em terras paulistanas pra fumar um baseado veio 3 FILHA DA PUTA e serrou a merda da buceta do caralho do banza graças ao BOM DEUS estou saindo imediatamente de sao paulo.  fui q fui,1
450,meu deus do ceu tem duas meninas aqui atras de mim parece q nunca pegou um ônibus na vida puta merda eu vou mata las,1
451,bom dia amizades virtuais,1
452,o kibe no twitter ta tao fora de controle q vc ve a mesma piada em 30 conta diferente e ai vc precisa decidir em qual dessas contas vc vai gastar seu rt eh tipo um the voice kibes  https://twitter.com/Avinkkk/status/1086812568570744832 …,1
453,vo pega a bolsinha de droga e sai correndo gnkkkkkk,1
454,galera ja deu meia noite preciso sair da lan house q o cara quer fechar,1
455,se aqui ja ta um inferno imagina ai mds,1
456,vou tomar um bainho pra ir pra casa da minha vovo comer pizza e comemorar meu ultimo dia em sp,1
457,usar shorts sem cueca eh ruim demais,1
458,baixei essa bosta de jogo pra jogar hoje e nunca mais na vida se foder,1
459,so peguei carta boa em pqp eu sou um lixo,1
460,meu deus q notebook merda,1
461,fui dormir 3 hora da manha acordei as 8 q merda eh essa,1
462,bom dia a todos,1
463,vo te q fuma um cigarro to sem sono nenhum,1
464,boa noite a todos durmam com os anjos pq com os demonio ja basta a puta da sua mae,1
465,foda passar por isso,1
466,"Me faz um favor apaga as nossas conversas e não me chama mais no zap agorinha vieram me dizer certas coisa sobre vc . Nunca pensei isso...é sério se afaste de mim , o meu médico proibiu-me de gostar de pessoas doces como vc senão vou ficar diabético...Te assustei né",1
467,na moral tem tanto anuncio ultimamente q eu tava tendo um sonho mo legal quando ia chega na melhor parte começou um anuncio do ifood na minha cabeça,1
468,ja me falaram q vc joga essa merda kkk.. vergonha da porra lllkk,1
469,odeio homens,1
470,vc eh o cara mais louco de todos,1
471,dei uns unf aqui tinha mt coisa merda na tl alem dos meus proprios tuites,1
472,Oi..bom dia,1
473,sem tempo irmão,1
474,dor de cabeça de uns inferno..,1
475,acho foda tbm mano,1
476,"bom pensando com a minha mente de tiozao acho q se vc cursar computação antes as areas q vc tem certeza de emprego sao bem amplas, direito ja eh um pouco mais difícil (eu acho)",1
477,boa noite leo vc poderia NAO fazer isso por favor,1
478,bom dia princesa.,1
479,meu sonho ganhar um rt do giphz,1
480,nao to acreditando q tenho q ir la na barra funda pegar a merda de uma carta dd referencia pq eu ligo e ninguém sabe me dizer nada sobre,1
481,um bom dia pra nos e um forte abraço,1
482,mds ta foda irmao,1
483,q eu faço da minha vida agr,1
484,Olha o futuro! Vc desenha qualquer coisa e os algoritmos de inteligência artificial identificam o que vc realmente queria e aprimoram seu desenho  http://seoi.net/penint/ ,1
485,vida vazia do caralho,1
486,foda se vc men..,1
487,q lixo,1
488,"a historia de amor entre um homem e varias batatas selecionadas da qualitá ""quando provei, minha vida nunca mais foi a mesma"" afirma anderson pensativo",1
489,eh foda meninada eh foda,1
490,QUE LIXO KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK  https://twitter.com/PriAlcantara/status/1085266248563253248 …,1
491,quero q vc pare de ser racista um minuto da sua vida pelo menos,1
492,primeiro banho desde a ultima vez q trabalhei (mt tempo),1
493,parabens @umvanglock 🎊 feliz aniversario e muitos anos de vida! tamo junto irmao 🎈🎈,1
494,foda nao ter importancia nenhuma,1
495,foda,1
496,cada like 1 fato que voce nao sabia sobre mim  1 - comesei usa droga com 3 ano por influensia da minha vo caderante RSsrs,1
497,q amigos,1
498,graças a deus vou sair desse inferno de cidade,1
499,so durante alguns minutos por dia..,1
500,sinto prazer em ser ignorado as pessoas devem perceber isso..eu acho,1
501,pensando bem eu quero q vc se foda..,1
502,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk to ligado eh foda eh foda,1
503,"ss.. eh q eu fiz aula de canto durante mt tempo, sei como eh dificil atingir a perfeição vocal ai os cara nao tem nem afinação e transforma a voz no autotune",1
504,eu vou galo vamos dar role td dia,1
505,dps de mt tempo descobri q a sigla SAM eh south america memes.. achei q sam era so o nome do carinha do karate kid,1
506,"<3 obrigado irmao! to meio apreensivo, mas acho q eh pq eh uma mudança hardcore kkkkkk mas to confiante",1
507,esse notebook aqui ta um lixo serve nem pra taca fogo..,1
508,Alguem me arruma um emprego ai na humildade preciso sair desse estado de merda,1
509,Obrigado rick! otimo dia pra vc tbm maninho,1
510,a unica coisa q eu queria eh estar em uberaba com meu emprego e minha casinha la o resto q se foda,1
511,Oi bom dia,1
512,bolar um fino pra fumar no banho pra comemorar esse dia merda,1
513,escolhendo a dedo as pessoas q irão la em casa um dia desses,1
514,vcs lacram tanto assim a vida real tbm ?,1
515,KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKse fodeu otario as pessoas te odeiam agr,1
516,10 da manha tomando energético,1
517,com certeza hj eh o dia mais triste de todos. estou me preparando pra voltar pra sp.. o carro sai as 12:00..,1
518,eu to muito triste por ter q ir embora amanha.. q inferno:(,1
519,foda se vc,1
520,quando eu me matar quero q todos falem q foi por falta de vontade q eu nao consegui ter uma vida normal. por favor se nao nao vai ter graça!..,1
521,(to falando de mim mesmo vcs foda se),1
522,to jardim!! a vida eh bela!!,1
523,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkqkkkkkkkkkkkkkkkkkkkminha vida eh uma piada,1
524,o dia nem começou e ja ta um lixo,1
525,minha querida sogra fica escondida escutando minha conversa com a carol kkkkkkkkkkkkkkkkk,1
526,A VIDA EH UMA MERDA NAO IMPORTA ONDE NEM COM QUEM VC ESTEJA A VIDA SEMPRE VAI SER UMA MERDA E NO FINAL SEMPRE QUEM SE FODE EH VC,1
527,viver eh um lixo,1
528,Ual! Mas que dia triste!,1
529,eu: aff odeio criança   criança: tio me dá colo   eu: VAI PRO COLO DA TUA MAE SUA CRIANÇA RETARDADA  https://twitter.com/sincerojesuis/status/1083426181800738816 …,1
530,vo acabar com a sua vida,1
531,que seu dia seja repleto de alegria e conquistas! Deus sempre em primeiro lugar! Otarios!,1
532,problemas de pessoas brancas,1
533,KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK OLHA NOIS AI DUUUU quanto tempo em mano se ta doido,1
534,só queria saber uma coisa: bom dia ??,1
535,buscando paz interior a cada dia q passa porem sem sucesso fer,1
536,pra vcs te uma ideia do quanto eu sou louco kkkk eu compraria roupinha em jogo online Sem zuera!!,1
537,FODA SE TUDO E TODOS.,1
538,primeiro banho do dia,1
539,10:30 da manha minha sogra chamando pra almoçar pqp tive q comer frango e pure no café,1
540,bom dia uma porra,1
541,11 da manha e ja muçei,1
542,ihh.. boa noite a todos,1
543,do re mi fa so fala merda,1
544,um dia serei seu amigo,1
545,Meu deus nao tem nada mais chato nesse mundo q a carol e a mae dela brigando pqp q inferno,1
546,".Vcs falam ""eu odeio negros"" .Eu chego a conclusão de q vc odeia negros .Vcs ficam bravos pq nao era bem isso q queriam expressar .A culpa eh minha",1
547,pq vc nao vai mais ta vivo der. . eu tb qro de mata.. um dia ..,1
548,essa vida eh um CU,1
549,sao paulo e um lixo,1
550,1 maço/dia,1
551,bOm DiA,1
552,todo velho eh foda,1
553,aqui em uberaba so fumo paiero  pic.twitter.com/X0QTbmKfhV,1
554,bom dia ?,1
555,q inferno pqp,1
556,O rock se torna mais rock a cada dia . Progresso sempre roqueiros,1
557,Em uberaba me alimento mt bem e fumo mais cigarros. Isso e otimo!,1
558,tipo eu nao queria ir embora pra sp mas tb odeio nao ter minha privacidade,1
559,Saúde ? Paz ? Prosperidade ?  Que se FODA!!  EU QUERO EH EMPINAR MOTO,1
560,BOM DIA CARALHO,1
561,q foda 😍😍😍😍,1
562,sai de sp resolvi mudar de vida pra poder espairecer,1
563,vo add la em mas so ruim,1
564,meninas de rosa meninos de azul e eu de preto pois estou de luto desde o dia do meu nascimento,1
565,odeio mt mt mt mt mt viver,1
566,velho eu ja cheguei usar folha de caderno por um tempo,1
567,FRASES DE HUMOR PARA ALEGRAR SEU DIA,1
568,bom dia sei la,1
569,queria se uma pessoa normal mas nem pessoa eu sou,1
570,foda ..  https://twitter.com/cassioleandro/status/1080542197190180865 …,1
571,lixo lixo lixo,1
572,Dia,1
573,puta merda q calor dos inferno,1
574,dia 32/12/2018,1
575,usar droga ate pensar q o problema da educação escolar eh o marxismo,1
576,hoje eh dia de desferir facadas no ar,1
577,alefrits   ok hj a noite vai ser massa..,1
578,hoje vou enviar tanta mentira q praticamente ja posso ser eliminado da terra quando der meia noite,1
579,RT @umvanglock o kibe no twitter ta tao fora de controle q vc ve a mesma piada em 30 conta diferente e ai vc precisa decidir em qual dessas contas vc vai gastar seu rt eh tipo um the voice kibes,1
580,"RT VAN, THE CREATOR o kibe no twitter ta tao fora de controle q vc ve a mesma piada em 30 conta diferente e ai vc precisa decidir em qual dessas contas vc vai gastar seu rt eh tipo um the voice kibes",1
581,o kibe no twitter ta tao fora de controle q vc ve a mesma piada em 30 conta diferente e ai vc precisa decidir em qual dessas contas vc vai gastar seu rt eh tipo um the voice kibes,1
582,o kibe no twitter ta tao fora de controle q vc ve a mesma piada em 30 conta diferente e ai vc precisa decidir em qual dessas contas vc vai gastar seu rt eh tipo um the voice kibeso kibe no twitter ta tao fora de controle q vc ve a mesma piada em 30 conta diferente e ai vc precisa,1
583,o kibe no twitter ta tao fora de controle q vc ve a mesma piada em 30 conta diferente e ai vc precisa decidir em qual dessas contas vc vai gastar seu rt eh tipo um the voice kibes  https://twitter.com/umvanglock/status/1079790564726452225 …,1
584,ja tomei duas cerveja agora vo fuma uma maconha da braba e ficar aqui na interwebs enchendo minha mente de inutilidades,1
585,"minha sogra não passa um dia sem falar pra eu ir embora ""brincando"" kkkkkkkkkkkkkk vai ter uma hora que eu vou arrumar minhas coisas e ir de verdade eu quero que se foda..",1
586,queria jogar lol com meus amigos virtuais mas tenho vergnha pois sou mt ruim,1
587,"a quantidade de problema e necessidade que o brasil tem mas uma das metade do presidente da republica eh ""acabar com o marxismo nas escolas publicas"" .. eu odeio viver",1
588,nao aguento mais incomodar as pessoas simplesmente por querer ficar no meu canto de boa vai toma todos no cu TODOS se vc eh uma pessoa vai toma no cu vc tbm,1
589,hoje em dia esta de volta para mostrar que atrás do sucesso de uma estrela existe sempre alguem comendo o cu de quem ta lendo,1
590,prejuízo nos ja da todo dia so por ta vivo,1
591,bom dia @umvanglock o q temos para hoje,1
592,BOM DIA????,1
593,Bom dia rafa,1
594,voce eh assim um sonho pra mim..,1
595,essa menina tem salvado minha vida a meses,1
596,sem tempo irmao,1
597,Quem me dera fossem vozes na mente e nao a minha sogra !,1
598,nao fica falando bosta na minha cabeça nao porra todo dia isso inferno!!!!!!,1
599,boa noite amor,1
600,Bom dia servos do senhor !,1
601,meia noite cidadão circulando.,1
602,bom dia dormiram bem?,1
603,EU SOU FODA !,1
604,futuro,1
605,bom dia pessoal vamos agradecer a deus pela oportunidade q ele nos deu de presenciar esse sol maravilhoso q esta la fora !!,1
606,Esse perfil esta de ferias ok nada de mt interessante por aqui to aproveitando minha vida em uberaba mg,1
607,foda se pra mim ainda e natal,1
608,carros foda,1
609,lol 5 vagas eu q nao vou jogar essa merda,1
610,mt ruim ser uma pessoa triste nao importa o lugar,1
611,boa noite a todos os tuiteres,1
612,Desculpa estou sem tempo VIVENDO,1
613,a mesma pessoa q disse q chegou a hora da igreja governar esta comemorando o estado laico,1
614,nao sei vcs mas to sentindo des agir na minha vida,1
615,Se foda..,1
616,as pessoas nao precisam de Deus,1
617,nem meio dia e bêbado,1
618,bom dia kevao.,1
619,Bom Dia Internet,1
620,nao queria ter visto isso.. acabou minha noite,1
621,"""na falta de vc bebida nao ameniza""?  kkkkkkkkkk vcs ja tomaram pitu? ameniza sim confia",1
622,to com a merda de uma musica sertaneja na cabeça como vcs consegue ouvir isso pqp,1
623,que otimo faltam mais 4 horas pra chegar em Uberaba !! inferno,1
624,bom dia ..,1
625,eh mt ruim ser um merda,1
626,q inferno vou tomar banho,1
627,eu tenho o sonho de conseguir levar o pais q vivo a sério,1
628,liga pra mim um dia matheus,1
629,eu quero q se foda nesse natal eu vo enfia um peru inteiro na bocakkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1
630,mlk eu esses dia,1
631,mai nunca nessa vida esse fim de ano vo enfia um peru inteiro na minha boca kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk to chrando mano,1
632,eu sou ateu e quero q tudo se foda kaina kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk acabou de descobrir q deus nao existe esse dai,1
633,"incrível D2, muito FODA",1
634,xingando pessoas que moram no sul de sulista pra eles ver o que eh bom pra tosse jjjjjkkkk,1
635,que foda mano  https://twitter.com/Marcelodedois/status/1076917033420304384 …,1
636,a vai todo mundo toma no cu q inferno,1
637,sem tempo irmão,1
638,to ficando louco,1
639,bom dia serras,1
640,entrei no pinterest achei q tava no tumblr com tanta foto de cigarro e droga,1
641,a unica pessoa q amou de verdade foi jesus,1
642,amanhã vou viajar to com muita dó de deixar meus gatos aqui sozinho q inferno..,1
643,bom dia meus queridos amigos desta grandiosa rede social intitulada Twitter !!  pic.twitter.com/ccfSiXA1CA,1
644,"primeiro q qualquer pessoa q se intitula ""Sei Lá O Que de Deus"" muito provavelmente ela vai te comer sem o seu consentimento. esta escrito nas estrelas.",1
645,boa noite para nos gabriel,1
646,tira o block do meu amigo @daecaua seu maconheiro de merda,1
647,remove a minha vida jesus !!,1
648,samuel_gordinho_oficial 2h  Pq me broquiou no ZAP amigo?  Sem tempo irmão,1
649,Eh muita maconha na mente  https://twitter.com/estebantavares/status/1076140243475197952 …,1
650,meu maior sonho eh TER um sonho,1
651,paralisia do sono  https://twitter.com/EsotericExposal/status/1076488835616239621 …,1
652,essa noite valeu a pena,1
653,tchau.. amigos.,1
654,inferno,1
655,lixo de vida,1
656,viver eh a pior coisa da vida,1
657,viver eh um lixo,1
658,todos os jornais foda se,1
659,To online demais pro meu gosto vo ler um livro sei la viver uma vida fora da internet,1
660,dei o maior grito da vida de desespero com medo duma barata voadora,1
661,ta uma noite mt gostosa,1
662,se hoje tenho problemas mentais culpe a maconha prensada que eu fumo,1
663,se tem uma coisa q eu to eh sem tempo irmao,1
664,humor inteligente de boa noite,1
665,KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK ele me deu um rt esses dia nao entendi nada.,1
666,dou rt em elogio SIM nao eh todo dia q alguem gosta de algo em mim,1
667,boa noite irmao,1
668,comendo suspiro mas na verdade o q eu queria mesmo eh sentir Alegria,1
669,eu gosto de rock emo pois sou uma pessoa triste kk,1
670,a mano eu to ficando louco,1
671,desculpa galera eu to um pouco assustado com o tempo,1
672,entendi entao tipo nao perdi mt sem saber o q eh esse tempo todo,1
673,nao perca tempo comigo,1
674,nao perca tempo com gente idiota,1
675,foda se as leis,1
676,q inferno mano aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1
677,tenho q paga minha faculdade de filosofia,1
678,a eu to mt triste boa noite a todos,1
679,q merda eu to mt triste,1
680,Prova marcada pro dia 08. Vamos estudar.,1
681,KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK eu sou um lixo.,1
682,fodase vo faze filosofia em qualquer faculdade q tive,1
683,durante a manha meu primeiro questionamento foi Eu sou um Homem ou um Rato ?,1
684,👀 estão na minha tbm. minha mente e uma fabrica de descobertas .,1
685,Vocês que fumam maconha só porque na Palavra de Deus manda! Cuidado para não queimar a eternidade no Inferno!!!,1
686,"""os verdadeiros eu sei quem são e conto nos dedos."" - com 9 amigos  pic.twitter.com/tEhUXwd2Tn",1
687,vc e foda irmao,1
688,sem tempo irmao uso as redes sociais apenas para trabalho ;),1
689,lol 5 vagas!! eu q nao vo joga essa merda !!,1
690,se organizar direitinho todo mundo fala q ta calor hj,1
691,sem tempo irmao,1
692,minha mae da a porra de um remedio q da sono pro meu irmao e fica tentando manter ele acordado pq segundo ela 'nao pode dormi ate tarde mesmo quando vc esta de FERIAS',1
693,ce ta maluco mano kkkkkkkkkkkkkkkkkkkk mas bilhar e foda dms.,1
694,dei duas mordida num pao veio e joguei no lixo a depressao esta tomando mais forças.,1
695,bosta pinto merda !!! 😡😡😡😡 to mt bravo,1
696,ISSO DAI SIM EH UM BOM DIA PORRA,1
697,BOM DIA,1
698,vcs me silencia pq vcs nao me conhece eu so uma otima pessoa u.u,1
699,foda..,1
700,"claro mano, pode deixar, tudo eh foda. obrigado de coração <3",1
701,espera meio dia pra vc ver,1
702,"queria ter amigos na internet a ponto da pessoa ve uma foto engraçada com duas pessoas ela escreve ""eu e alefrits voltando do bailao""",1
703,deus dia kaina,1
704,ouvindo musicas para serem ouvidas pela manhã,1
705,nunca mais falo bom dia nesse site to falando serio nao vem com blm dia agr nao em.,1
706,Vc eh ruim  https://twitter.com/g1/status/1075131588747411457 …,1
707,tomar banho gelado no calor esta na minha lista de Meljores Coisas da Vida.,1
708,e se cada pessoa do mundo desse um real depois a gente dividisse igual pra todos ?,1
709,pq ele e rico e foda.,1
710,online por algum tempo,1
711,Meia-noite  pic.twitter.com/9m4gXVyzjR,1
712,rick pra voce o melhor dia de todos !!,1
713,vc almoça de manha,1
714,Apenas dia.,1
715,que foda !!!!! eu vou morar ai em breve,1
716,sinto q estou em minoria as pessoas com qm me identificava nesse site estão jogando mt lol e ouvindo kpop sem parar (os animes sempre estão em dia) preciso de uma GANGUE dp twitter.,1
717,no momento so com calor mesmo.,1
718,tem poucas pessoas na internet com a foto do pikachu boquiaberto . coloquem mais.,1
719,querem afundar meu barco 🚤 mas faz tempo q ja ta no findo do oceano amado,1
720,"eu nunca tive mas as pessoa gosta, algumas.",1
721,meu dia acaba de ficar colorido.,1
722,queria ter apenas 3 minutos de vida para preparar meu miojo de tomate da turma da monica e descansar a eternidade em paz.,1
723,obrigado !!!!! eu gosto mt dele serio q merda..,1
724,bom dia kevao oq temos para hoje amigo,1
725,unica soluçao para sobreviver o dia de hoje,1
726,ele e um artista as pessoas nao entende.,1
727,FODA,1
728,@BemBoladoBrasil me arruma um emprego meu único sonho eh trabalhar com o q eu realmente gosto q eh maconha.,1
729,"""Hoje ninguém vai estragar meu dia..."" ss.. so eu mesmo tenho o direito de estragar meu proprio dia",1
730,o mais foda eh saber q ainda aqui em sp tem esses lixo ai q vc falou. so sei q tenho vergonha de ter nascido aqui quero ir embora logo vor !!,1
731,como tomar sertralina e nao sentir vontade de enfiar o dedo no cu pesquisar,1
732,"como vcs pode endeusar sao paulo velho o bagulho eh simplesmente o inferno na terra ngm se ama td mundo ta correndo pra la e pra ca 50 horas da semana em transporte publico mas foda se ""baladinha huhuhuh"" vao se foder caralho eu querendo sair daqui desse lixo vcs dando o cu p vir",1
733,exagerei nas bebida ontem e vomitei tal qual uma puta louca,1
734,Bom dia amizades virtuais.,1
735,mano fodaase to muito louco.,1
736,hj eu vo fica ruim,1
737,sp e uma merda. vamo da role,1
738,preciso dar um fim na minha vida logo,1
739,"Tô aqui no covil deles. Casinha armada. Quando eu levantar vou levantar atirando. Eu vou mas vou levar pelo menos 4 comigo. Foda-se tudo. Foi bom te conhecer. Um dia a gente se encontra, amigo.",1
740,oi..bom dia,1
741,cansado de ter amigos só por ter uma tornozeleira eletrônica,1
742,p mim so noite,1
743,ouvindo lofi 24 horas por dia,1
744,boa noite,1
745,digitando o mais rapido q eu posso pra poupar tempo de olhar as paisagens,1
746,blz um dia vc vai precisa de mim,1
747,Meu nome e alessandro vc deve estar falando de outra pessoa rs,1
748,queria ser uma pessoa mais seria pras pessoas levarem a sério meus gritos de sofrimento,1
749,-q ano heim puta merda -coisa demais.. -pôorra.. -até pessoa matei -o quê ? -louco demais.. -o quê você falou? -q ano kkk..,1
750,sem tempo irmao,1
751,ja to cansado de toma banho todo dia,1
752,na moral acho q o inferno deve ta suave ate,1
753,Jesus devia ter morrido pra gente nao sofrer esse calor maldito ao invés de 'salvar o mundi do inferno',1
754,2022 estaremos vivendo o q eh retratado no livro admirável mundo novo de adols huxley as pessoas finalmente serão felizes eu estarei em uma camera de gás,1
755,eh normal caber uma havaiana num. 42 na fimose ? meu irmão perguntou akie..,1
756,vou bolar aquele nao tenho amigos.,1
757,eu quero q se foda e q meu pau cresça a cada dia mais,1
758,ainda nao realizei meu sonho de explicar o que eh feminismo pra voce..,1
759,eu falo bom dia ngm me responde a partir de hoje pisarei em vcs,1
760,bom dia .. ?,1
761,Boa noite.,1
762,um dia vo coloca essa ft o bolsonaro de perfil.,1
763,Fumei porra FUMEI TUDO A merda Da arvorw.,1
764,sem tempo irmao,1
765,entrei no facebook por 10 minutos depois de MUITO tempo e to saindo assim ..  pic.twitter.com/pN8SisoyAU,1
766,queria realizar Sonho,1
767,"caraca mano, mas o q ? tipo o livro nao expressao opiniao nenhuma alem da histpria de uma forma mais simples e fundamentada.. eu achei muito foda serio..",1
768,um amigo meu disse q cursar filosofia eh pagar pra foder com a própria mente. concordo.,1
769,sai 10 minutos no sol to todo queimado. odeio viver.,1
770,foda se tudo,1
771,vo vira feminista odeio homens.,1
772,qe foda igor !!! parabéns mano tu eh foda,1
773,fumando 8 narguile ao mesmo tempo,1
774,acordei e a merda do narguilé ainda nao ta montado pq,1
775,jantei nessa merda,1
776,odeio sao paulo mas e tao bonito os predio,1
777,como assim vc esta louco,1
778,a eu tenho raiva de varios mas q se foda whinderson,1
779,lorna shore = banda de grito ruim,1
780,a vida gosta de foder comigo,1
781,um dia vou ser famoso e sairei assim na rua sem medo de ser julgado obs te amo llucas  https://twitter.com/lucasfresno/status/1073285561279004673 …,1
782,pq eu odeio viver e ainda tenho q passar por diversas situações de merda,1
783,MINHA VIDA EH UMA GRANDE PIADA KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK EU SO ME FODO NESSA PORRA KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKIKKKKKKKKKKKKKKKKKK,1
784,odeio com todas as minhas forças estar vivo,1
785,bom dia fdp,1
786,foda se as leis.,1
787,com o mario kart incluso pqp seria um sonho,1
788,o intelecto humano nao consegue compreender meu humor ainda.. dando tempo ao tempo,1
789,na moral faz cotas q rindo dessa porra ele da um giro na cama manokkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1
790,todo dia q eu acordo e vejo q ainda to vivo  pic.twitter.com/1uM7RZGAlY,1
791,leon na frente do pc todo mundo eh brabo na vida real eh tudo mansinho...,1
792,bom dia nestorzinho bom coco ai para vc e sua familia !,1
793,nao sou um educador porem darei bom dia,1
794,coitado de jesus velho o cara salva a HUMANIDADE DO INFERNO e os outros ainda querem atirar nele. porra galera respeitem o salvador,1
795,agr e foda nao sei se pego o ônibus ou compro uma goiaba,1
796,que incrível! vcs viram quanto ta o pepino comum e a abobora no mercado dia????? Baratíssimo!!!!!,1
797,"Essa aqui eh a minha cidade, a merda do meu prefeito.  https://twitter.com/JornalOGlobo/status/1073181694738477056 …",1
798,se foda vou fumar maconha,1
799,encontrei essa imagem na internet um dia desses e ate entao nao sabia o q escrever sobre.. fiquei chocado ao me deparar com dois bonecos de teste demonstrando afeto em horario de trabalho. lamentável..  pic.twitter.com/Ng2vtR8AA1,1
800,serio eu to chocado com a bolsa estupro o inferno com toda certeza eh aqui na terra,1
801,to em pé o dia todo graças a um torcida de churrasco,1
802,esse dia foi fodaaaa!!!  pic.twitter.com/d2ufqN0xb1,1
803,droga! essa ia se a legenda,1
804,como pode ne o cara eh acusado por mais de 200 mulheres de abuso e ainda tem a cara de pau de fala q eh inocente puta merda esse mundo nao eh feito para mim mesmo,1
805,mas isso nao da em nada eu sou um merda..,1
806,"De levado, emo e louco todo mundo tem um pouco. 😛😌  pic.twitter.com/T5wdLujyRs",1
807,smoke weed todo dia haha,1
808,bom dia serrate!,1
809,se foda hoje to puto,1
810,bom dia betinho,1
811,"se tem uma coisa q eu sou contra e SEMPRE serei contra eh o fanatismo religioso. amado fodase se vc acredita em deus ou em odin ou na merda da tua mae de quatro, nao seja fanatico.. por favor escute o conselho de um velho",1
812,oi bom dia,1
813,Noite feliz  pic.twitter.com/kvpKFknfKD,1
814,se foda  https://twitter.com/ParanaClube/status/1072618773004369920 …,1
815,"eu jogava a muito tempo atras, hoje so assisto",1
816,league of legends 5 vagas eu q nao vo joga essa merda 😂😂,1
817,q deus abensoe seu dia,1
818,bom dia mozi,1
819,nao consegui dormir direito hoje pq minha garganta ta horrivel velho q inferno na moral,1
820,pqp eu tbm q inferno,1
821,nao existe dia sem o seu bom dia luciano,1
822,bom dia ?,1
823,q se foda,1
824,vc e foda.,1
825,Oi boa noite tudo bem ?,1
826,vou ter q criar minha propria gang aqui no twitter ta foda ser um user independente..,1
827,se foda quero q chegue as festas de fim de ano logo pra eu chapar o coco e esquecer Problemas,1
828,se foda vou postar memes,1
829,mas foda se mano se eh errado eh errado porra tu tem q saber disso tb,1
830,internet ta mt lixo pensando seriamente em largar tudo q tenho e ficar no monte das oliveiras orando e meditando para ficar mais forte..,1
831,q foda mano queria ir prai um dia,1
832,ligando o notebook o inferno se tornara presente na terra,1
833,nossa!!! nem 10 da manha ja comi chocolates & salames & tomei soco de uva,1
834,ss mt foda,1
835,eu tenho essa merda dessa conta a anos e o twitter ainda me manda as mesmas sugestões de amizade. por gentileza nao.,1
836,"a mano, o importante eh garantir a brisa kkkkkkkk eu tb so fumo prensado",1
837,chapei irmao. agora sim um bom dia a todos,1
838,bom dia vor o q temos para hj,1
839,acordei com o cara da cesta básica gritando no portão bom dia,1
840,cade minha gangue do twitter vamos se reunir para conversar sobre o futuro do twityer,1
841,macarronada com leite e achocolatado boa noite a todos.,1
842,eu fico com raiva e pa de umas coisas q leio aqui mas dps lembro q a maioria de vcs tem tipo 17 anos ai fico 😂😂😂😂😂😂😂😂😂😂  se foda,1
843,a vida nao e feita de memes.,1
844,Sem tempo irmão.,1
