,tweet
563,amigas amanha é o último dia q vcs tem pra beber comigo
564,Diário do SG2: 28 de junho de 2019 e seguimos sem nenhuma data do lead ou álbum
565,"queria amigar nessas férias mano, faz tempo q n cvs c ngm novo"
566,Nossa qual a necessidade deles fazerem isso?
567,O esquema é TFT biaa hahahah
568,Sim simmm
570,Eu nunca pensei que ia amar tanto alguém ao ponto de querer tirar isso de mim
571,ISSO EH RIDICULO obrigada por esse tweet gabriela.... perfection
572,Férias sua linda você chegou 🙏🏾🙏🏾😍
573,Foi so pra ter buxo pq a bixa é sapatao
574,"sim mo, parece que me esfreguei no carvão sksls"
575,Crlh a pergunta foi pra tu e n pra mim KKKK
577,"comi um Sabadim Brownie, um Donut e corri na esteira como se nada tivesse acontecido"
579,"Mas brincadeiras a parte! Ponto pra o PR, isso é bom..."
580,"Frases do filme: ""Eu não tinha idéia do que você estava falando, mas eu não podia deixar que eu gostava escucharte"". Gerard Butler (P.S. Eu te Amo)"
582,NEM EU ACREDITO
583,Agita A Dm..
585,Eu todinho
587,hoje eu só queria umas besteirinhas pra comer e um filminho
588,kkkkkkkkkkkkkkkkk to rachando desses trem
589,"mais uma vez a sinusite me impedindo de fazer alguma coisa que eu tô planejando há meses, o tanto que eu odeio essa porra dessa doença não tá escrito na Bíblia"
590,Ganhei vários elogios agr rrs 🤗
591,"tbm achei, só pq é filho de famoso pode fazer o que quer? se fosse meu filho eu ja dava um puxão de orelha"
592,"calma, muita calma, minha hora tbm vai chegar uai"
594,eu ia te perguntar se gostas ainda bem q n cheguei a perguntar
595,as vezes o sujeito ta louco na droga
596,ah tá
597,Obrigada eu acho
598,amém
599,@maisa olhaaaa
600,"❤️❤️, eu sei"
601,Graças ao presidente do Brasil Jair Bolsonaro.  Tal Ok
602,Claramente com razão
603,quantos seguidores eu tô pfvr
604,eu tô cada vez mais certa da minha sapatonice.
605,Acho que tô flertando sem saber que estava flertando. Esse é o tweet
606,"ah não kkkkkkkkkkk  isso é bait, não é possível"
607,mo??? meu deus eu amo tanto o dois tem cenas tao icônicas
610,alquem p dançar cmg no baile do buena brisa
611,que lindaaa
612,hoje não parei um segundo minhas pernas tão só a dor
614,vamo fazer uma vaquinha e lerigo
615,"Ah fepi, hoje eu passo essa.  Amanhã, quem sabe. 😕"
616,to morrendo de dor na perna kisaco
617,ONDE ESTÁ A VEJA??? NO ESGOTO!!! QUE TRISTE FIM
618,feio
619,"não, chateada não :("
620,"@ArtemisCintia olha as orelhinhas, quero!"
621,aaafff minha princesa mais linda ❤️
622,Ao infinito e além!
623,"Eu: mãe não conta pra pessoa que eu te falei isso, ela vai te falar logo logo  ** A pessoa aparece na nossa frente**  Minha mãe: humkkk que carinha de novidade é essa? me conte tudo"
624,@CervejariaAmbev orgulho de empresas assim ❤️❤️❤️ Vamos continuar Twittando #OrgulhoDaMinhaHistoria
625,Antialérgico me derrubou n acredito q tô indo dormir as 8 da noite
626,"Quer educação e moradia? Então vá cobrar os arrombados q estão enrolando pra aprovar a reforma da previdência, q tem um custo enorme. E emprego q gera é o mercado. Bora ler mais livros de economia, bebê?"
628,Isso só interessa aos CORRUPTOS. Além de ser INCONSTITUCIONAL.
629,"amor, se eu estiver menos de 5 metros de distância de você não precisa gritar pra falar cmg. Meus ouvidos agradecem."
630,aí meu Deus eu n gosto de gente que enrola demais pra falar  enrola enrola enrola e no final eu n sei nem mais o que a pessoa queria falar   O odiooooooo
631,"pra eu cair no golpe, tem que ter mais lábia que eu"
633,Que lapa de bode eu tirei
634,"homem só sabe fazer três coisas, mentir, trair e fazer a gnt de otária, pq olha sinceramente...............é cada história que eu escuto"
636,eu tb n sabia q estava
637,"Depois de todos os planos, dá vontade de chorar quando penso em tudo, que inferno"
639,"Bêbado com sucesso, só faltou meu amor"
640,"Eu numa TPM do inferno, se o vento passar na minha frente eu grito com ele."
642,Quero voltar meu trampo logo p terminar de conquistar minhas coisas
643,Q linda amiga
645,Sim dms
646,Gente muito burra
647,força aí ícone p passar por essa opressão
648,kkkkkkkkkk ela eh doida amiga aí meudeus
649,quanto tempo não pagava todas as contas e ainda sobrava dinheiro 🙏
650,"puta que pariu, simplesmente perfeito"
651,meu deus minha eterna duvida sistemas de informação ou ciência da computação
653,"Minha tia pro meu pai “a Heloísa foi lá naquela festa do Grêmio” e ele “não é Grêmio não, é inter”"
655,Man eu vi que ele tinha falado merda mas não lembro mais o que foi.
656,"Patético, Doutor. O silêncio já era constrangedor, essa mensagem ai logo hoje só piorou o que já tava feio."
657,Queria ta falando com a Camila pra contar oq aconteceu
658,Vc é meu camisa 9 pai !
660,"Mãe vai me pagar um lanche, amo essa mulher"
661,com certeza ???
663,Meu wpp ta tao morto mds😑
664,bota a mesa do lado de fora da casa da vó e come olhando p rua
665,não julgo se eu fosse ele tmb iria querer
666,Vou é arrumar tudo e dormir que isto já deu oq tinha a dar
668,Se você me nota eu saio pela rua gritando KAKAKKAKAKKA(doida que nada)
669,"Pprt, a cada dia que passa me desanima mais! 😔👎🏽  Parece que você não serve pra nada 💩"
670,Ir no show dos paralamas
671,n tenho dinheiro nem pra ir na esquina
672,"Desejando um bolo de festa, Ahh 😋"
673,idai sou feio mas sei dançar
674,Esse árbitro do jogo Brasil x Franca da VNL é muuuuitoooo ruimmmmmm!!! #VoleiNoSportTV
675,Q abuso cr kkkkkkkk
676,Obrigada amore❤️❤️❤️
677,@Jasminiminii olha essa doida querendo suicídio coletivo de aniversário
678,Será que na terça é Messi Tchau ou Tite Tchau?
679,Uma pessoinha esperando seu lanche não quer guerra com ninguém
680,vc espalhando pro mundo q foi corna
681,"véi, não aguento mais ligar o ponto x no ponto y, dq a pouco vou ligar o ponto na p*t* que pariu😅"
682,consciência 100% limpa de que sempre farei o meu melhor
683,Meu sonho é aparecer no insta “memes do Twitter “
684,Penso não! Eca 😝
685,aí as gays enchem a porra do saco puta que pariu
686,O ser humano que inventou a integral era diferenciado viu
687,Q tu fez
688,O PT é oportunista e mancha um trabalho sério...
689,Pqp q vergonha. Sai do Cruzeiro logo.
690,"Observando a alegria dos torcedores do Atlético de Madrid com a contratação do Lodi vejo que definitivamente a alegria de uns é a tristeza de outros (com outros leia-se nós, atleticanos). Mas é isso aí, voa mlk!"
691,Estudamos pra isso né
692,sextinha ✔️
693,CALMA ERREI PQ EU FALEI BAIRRO
696,Aproveita que pra vc tá mais fácil. 😀
697,Beudels eu quero alimento
698,"Mofado é o cérebro dos bolsominons, porque eles não sabem usar!"
699,nostalgia is so passé
701,"melhor coisa que eu fiz foi usar o juice do vape como goma pra blunt, essa porra ficou boa demais quaquaqua"
702,"Pela tua lógica não pode reclamar, ou estou errado?"
703,Faz música pra Vassoura dançar em Hollywood. Sucesso garantido.
704,Bolo de chocolate é muito bom nmrl🤤
705,"fiquei em primeiro lugar de novo, aclamadissima amoh"
706,CARAAAAAALHOOOOOOOOO
707,vc sempre
708,queria ser o motivo dos tweets apaixonados de alguém
709,"Mas no seu caso, como você diz... Você deixa claro pros seus ""amigos"" no meu tweet base tá bem  claro, que são coisas contrárias, é questão de interpretação rsrs"
710,Como que morre com chupão o anta
712,ano passado eu morri mas esse ano eu não morro
713,anao henrique kkkkkkkkkk
714,"KKKKKKKKKKKKK chata n, seletiva"
715,KKKKKKKKKK eu to sendo positiva
716,masculinidades frágil feelings
717,nunca se diminua pra caber no mundo de alguém
718,EU TÔ CHORANDO DE RIR KKKKKKKKLKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
719,Quanta diferença da qualidade do gramado da Arena Corinthians para o pasto de ontem na Arena do Grêmio. Hoje dá para cobrar bom futebol. De colombianos e chilenos.
720,gente meu fone q comprei rodoviária tá deixando meu cerular biruta parece q fumou crack  sei lá??
721,tudo no diminutivo pra combinar com o pauzinho dele🤩😍🤟👍😝
723,♰. É inacreditavelmente sensível ao frio. Qualquer mudança de temperatura lhe é desagradável.
725,"Que coisa lindaaaaa, isso aí"
726,Esse deve ser o universo paralelo deles.
728,sem paciência irmao
729,Mano dava pra ganhar facil
730,Quero uma sapatão dessa na minha vida🤤🤤🤤🤤🤩❤
731,poty me seguiu socorroooooo to tímida
732,"Em que voce contribui para melhorar esse pais, greg ? Nao volte. nao faz falta."
733,"Tô assistindo o @Tealzlol no TFT tem 3 semanas já. Ganhei 4 partidas, 3 seguidas, mas como ele disse ta o povo culpando a puramente a sorte xd sad"
734,"somos, nosso bebelô 💙"
735,eu- :’( *como um pedaço de pão de alho* eu- :D
736,A alegria do jovem de hj é comprar 3 neosoro por 10 conto
739,"Eu já estava à espera de uma resposta desse género  E sim, tristetraste, enche-te de óleo de coco, respira óleo de coco, come óleo de coco, bebe óleo de coco. Deixas de estar vazio"
741,nem eu sei po
742,Mt lindas as minhas mães 😍😍 Amo mt
743,Deus é top
745,"mas uma solução pra vocês que passam ou já passaram por isso, não se apeguem, conheçam a pessoa pra depois decidir se vão ficar com ela ou não, porque desilusão amorosa é uma das piores desgraças da vida."
746,BLZ agr ela ta puta cmg pq apaguei a foto
747,Colômbia x Chile já tá melhor que os 4 tempos de Brasil x Paraguai e Argentina x Venezuela em menos de 6min de jogo
748,"Contente, será que não é algo automático?"
749,vou sair virando o punho pelo oso flws
750,"Pois é, se o Bolsonaro tivesse o poder todo que eles julgam, acha que já não saberíamos quem tentou mata lo?"
751,"puro preconceito infelizmente, e o  ministério da saúde ainda diz que mantém a restrição por """"""motivos científicos"""""", e isso nem faz sentido??????"
753,toma algum remédio :((((
754,Queria viu
757,pena que eu só vou ver bia quando chegar em casa pena kkk
758,"Jantei omelete de atum num desgosto tão grande, que tô até com medo de dar dor de barriga! Vontade de uma pizza de milho verde com catupiry! 😢"
759,voltei cm o wpp chama lá (966220746)..
761,Ai calei kkk você que é perfeito aqui
762,eu te amo vida
763,rapaziada... aproveite a vida da melhor forma
764,Tudo da Lá Roche é bom rsrsrsrsrssrsrsrsrsrssss
765,em* burra demais
767,agredida pelo meu padrinho pois insinuei que ele vê novela
768,qual a porra da necessidade de me ligar NA HORA QUE EU TO JOGANDO FREEFIREEEEEEEEE
769,Sabia que prazoli terminaria.a ex do João a família dele seguir ela e adora já a @eugabiprado sempre sobe só suportava por causa do João mais nem ela botava fé nessa relação o pai o Pedro nunca gostaram dele devem está tão felizes que acabou e o João se livrou da louca
770,VEM CACHOPINHA AMOR DA MINHA VIDA
772,meu deus que gracinha kkkkkkkkkkjk
773,"muito legal a diversidade de plots, uma hora na tl vem uma fada e do nada um demônio, uns humanos comuns, uns híbridos, deuses"
774,A bola está quadrada então😂😂😂😂
775,Que está pasando che
776,"Mas é literalmente a porra que tá dentro da camisinha , a camisinha tá na cor normal mesmo"
777,VÃO ASSALTAR BURGES METAAAA
778,amor fati.
779,-     Irmão vc não sabe o quanto o Duim está vibrando pelo teu sucesso!   Rumo ao topo. Vc merece . Coração grandão. Muito diferenciado 👏🏾👏🏾👏🏾👏🏾👏🏾🙌🏾❤️🥋
780,"Não foi Bolsonaro que ""cedeu"". Aqueles que criticaram Bolsonaro o procuraram para fazer este acordo."
781,Vai ter outras sessões além do dia 7?
782,"O crime organizado do Reino dos Cogumelos, ele é tipo o Black Jack"
783,Mano ficar sem celular é horrível sério 😕😕
784,nós puto
785,quem aguenta
786,A Carol ta demorando e eu não aguento mais de tanta fome.
789,Um dia te conto a história. Kkkk
790,"Minha mãe fala q o ser foi embora e ainda tem a coragem de pedir pra eu ir agora. Tem 20 anos q eu sai dela e não conhece o meu psicológico até hoje, tem lógica não."
791,Quaaaaando é que o filhodaputa de Renan vai ser preso?!
793,heia Colombia! heia Shakira!
797,só se for de amor piceza
798,"tudo bem que comentar isso é MEGA desrespeitoso mas, sei lá, ninguém é obrigado a achar alguém bonito só por ser fã tlgd"
799,"Smp falava “não aguento mais o ensino médio acaba logo “, e alguns pessoas smp me falava aproveitar pois vc irá sentir falta, hj só queria voltar um pouco no tempo"
801,sou aaaaaa mano me abraça
802,Meu dedo chegou num limiar de dor tão grande que nao sinto mais ele
804,"rebele-se também contra os custos exorbitantes da Dilma como ex presidente, que vive torrando o dinheiro do contribuinte."
806,"Vou te falar, fogo no cu cura qlqr doença, tava morrendo de bronquite, tomei 2 injeções p não ter q tomar remedio em comprimido.. E to aq, prontinha p festa junina amanhã kkkkkkkkkkk Deus me perdoe"
807,Eu cheguei tarde mas o coro vai comer
809,Pprt tô com essa parada na mente até agr
810,fico lindo
811,O que vc acha?
813,meu primo baixou um negocio no meu notebook e quando faz isso vai parar na pasta de foto dum filme lesbico ai. laudo medico: viadinha
816,"Eu, me acabo de dormir 5 horas de siesta"
817,Porque eu me conheço e eu duvido que eu vá acordar cedo pra ir trabalhar amanhã
818,que odio café é vicianteeee
819,Duas
820,CE botou eu pra ouvir os travessos kkkkk vlw
821,Ta foda
822,"Demitiu o Bebiano a pedido do filho, que o chamou de mentiro publicamente e o Bolsonaro endossou, com suspeita de candidatura laranja, mas o Marclelo Álvaro (ministro do Turismo) enrolado nesse assunto até o pescoco não deu nada."
823,"Minha imunidade olha pra mim e ri, pq não é possível"
824,tu deve ter azedado por dentro
825,"Eu quero viver à beira mar, ser de qualquer lugar, ter no que acreditar..."
826,"Parece que estao fazendo sexo de verdade ...Tá vendo , acena não precisa ser quase porno pra mostrar veracidade , tapadasfas kkkkk"
828,nao consigo me afastar dele de jeito nenhum kkkkkai
829,"Quanto mais difícil a subida, mais bonita é a vista lá de cima!!"
830,"Na boa, eu não faço mais nada pra tentar agradar a ninguém, Eu sempre faço e não vale de merda nenhuma."
831,Até que fim vou voltar a ter tempo pra ir pros jogos do papão
832,"Eu tinha CERTEZA que daria certo! Eu não sabia como, mas eu nunca duvidei que tu conseguiria. Tu és uma pessoa muito iluminada, isso não foi nada mais do que merecido! Tô genuinamente feliz por ti! Que pai maravilhoso ♥️ Parabéns, Rach! Estarei sempre aqui acompanhando e torcendo"
833,"Sonhei com cobra, Deus me livre dessas falsidades, amém"
834,Q foi meu amor??
835,"ah não mentira né ?????????  EU SEMPRE AMEI ESSE JOGO, VSF olha, eu n tenho palavras pra descrever minha felicidade com o Habblet, na moralzinha....  quem disse q eu não vou criar uma conta novinha pra jogar dnv essa belezura? KKKKKKKKKKKJ pois é"
836,Eu já tava fazendo o barraco no portão
837,operei a fimose
839,Bora beber
840,"Foi igual acabei de falar para Ediane, não consigo não ajudar o pessoal de casa, querendo ou não sinto que preciso ajudar..."
841,Aaaai obrigada princesaaa
842,minha mãe ta estranha
844,Ainda bem que ainda existe vontade própria!
845,nmrl tava a 2 semanas sem comer macarrão e tava SURTANDO minha mãe fez uma panelona de macarronada e mds comi 5 pratao sem meme mano eu to q nem consigo levantar
846,"Globo news #empauta vcs tao com dor de cotovelo, querem ofuscar o Brilho do  Bolsonaro neste acordo com a união europeia e Mercursul , morram de raiva foi assinado no governo dele , e sempre rejeitado pelos governos de esquerda durante 20 anos!!!"
849,daqui a pouco vou me mudar p sao luiz de tanto q eu vivo aqui
850,"Música tem, mas qm vai no estádio não canta 🤷"
851,Mas teve q baixar a bola na política ambiental... #BolsonaroVergonhaInternacional
852,tenho visto quase td mundo tendo tempo p td. menos p mim ultimamente...  aff
853,é sim mano
854,Vou fazer uma comidinha delícia pro maridinho 😍
855,"Bem, de fato há MGTOW contra mulheres sim. Não concordo com isso. Mas como falei, eles viram uma faceta do quebra cabeças que os conservadores passaram pano por muito tempo."
856,"Mano tô ficando puto já, n sei pq um app fica mandando msg p algumas pessoas aleatórias no meu tt, se algum dia vc receber ignore pff"
857,sem deixar farelo 😘
858,"#EmPauta Eliane Cantanhede acabou de falar no #EmPauta que o governo Bolsonaro estava ""um pouquinho excessivo"" com relação ao meio-ambiente!"
859,"O melhor gramado do Brasil é da arena Corinthians, e eu me pergunto pq os clubes não vão atrás de quem cuida do gramado de lá."
860,Tô ficando se saco cheio quando eu der um basta de vez vai vir me perguntar o que houve igual da outra vez 😡
861,Ficou bem mais tranquilo
865,"Pare, quem usa no modo diurno é gente *"
866,parabéns pela conquista!
867,borges pra mim nem é jogador
868,"macetinho do rd,agr eu já sei kkkkk"
870,"que, como que pode isso"
872,Eu ainda to tremendo Ju. Não consegui postar o vídeo até agora.
873,Vamos de mais desafio?   Conte de cinquenta a cem por extenso. Bora!   POWER BAHLS BRASIL
874,"kkkkkkkkkkkkkkkkk amiga, tô torcendo aqui pro seu priquito ser bem servido da rola amada o mais breve possível 😍"
875,Não muda nada de outras mulheres
876,Ehehehe é incrível!
878,Coisas que não fazem sentido: bar de narguile
881,"'Tô numa mesa com quatro cadeiras Aqui já tem três enganados por ela Bebendo, esperando a rasteira que 'cê vai levar dela Fica tranquilo, que a quarta cadeira te espera"
882,Claro meu querido kkkkkkkk
883,sempre fui 🥺🤙
884,em dezembro vo fazer o Premio Closet Pub!  me indiquem umas categorias para premiações ai
885,Ta perdendo tempo!
886,obrigada miga ❤️ mas a autoestima 👎🏻👎🏻👎🏻👎🏻
890,"base n uso mto pq nunca acerto meu tom, mas tem a da ruby Rose natural look"
891,Porém tu não sabe se ela te olha por estar sentindo a “mesma” coisa ou por não gostar de ti por conta do que tu já fez no passado (tipo ignorar a pessoa no whats lkkkkk)
892,tem coisa que é desnecessária de ouvir viu
893,cansei de home
894,O dia hj foi mt bom
895,"meu namorado foi jogar lol tenho certeza  quando some assim ja sei q eh o amante dele, o lol"
897,italemanha com as amigas q eu gosto ❤ @joannalittig @MariaLuiza912
898,ta descendo gelo com a mamãe..🍻
900,Gente gente tô de cara com minha mãe slc
901,eu seria uma pessoa mais feliz se em minha casa tivesse uma rede
902,Cada vez que eu volto pra Bolívia parece que e cada vez mais difícil
903,Para Antonio kkkkkkkk vc disse que tá ótimo
904,Só quero um celular novo
905,ultimo album do chris é sensacional dmss
906,eu to morto de cansado mas ai aqui tá tão bom
908,"lets assumindo a sua realidade, lindo de se ver"
909,"Hoje eu desabei chorando, agora não tenho forças pra nada"
910,Eu simplesmente não quero comer nada que tem aqui em casa e também não quero ir na rua compra lanche. Deus por que eu sou assim ?
911,os asteriscos tem  a quantidade de letras do meu nomekkkkk
914,Ouvindo Pixote - Insegurança porque estou inseguro
915,"Eu to INSUPORTÁVEL, sério"
916,Thiago me mandando força de foto do João kkkkkkkkkkk só sei que sou apaixonada
917,Felicidades 🧜🏼‍♀️💛
918,namoral aquele Pedro que colou na escola hoje com os meninos e muito gato véi
919,Siga em frente.
920,Tô assistindo a garota da capa vermelha 😍
921,"Pior, o filho da égua é Petista. Que azar desse partido, hein? Pego justamente com o Mito!!!😳"
922,O tombo de Jerônimo e Vanessa vindo #Verão90
923,sai daí mentiroso
924,"Ganhei uma Camisa retrô  do Liverpool  daquele pique, ainda tive a melhor aula de Bio todas kkk Fé"
925,e n choca por carregar o fandom nas costas
927,a mulher veio me mandar dm pedindo pra eu marcar ela nas minhas fotos por causa do meu cabelo (????)
928,Que mentira isso ai eh calúnia com a minha pessoa
930,o caralho q mlk gato p porra pqp
932,e eu fico mais estressada ainda pq geralmente eu sempre to com alguém (no caso minha mãe) e eu fico muito insuportável e grosseira e aí eu tendo conter esse sentimento mais ele só vai piorando até q eu estouro
933,A gaja da me um nojo tao grande mas tao grande que so de olhar pra ela da me vontade de gregar
934,pelo menos ta de férias
937,Barroso que foi colega de faculdade da mãe etc etc... eu sei perfeitamente com quem tou a falar tu é que não.
938,"Ah tem vez que eu queria só deitar na cama e fingir que to morta, na mora"
939,"Eu realmente tô começando a repensar meu jeito de agir, de ser com todos"
940,"poise, nojo de pessoas assim"
941,Eu não vejo outra solução além de arrancar meu braço esquerdo inteiro fora
942,ME PREPARANDO PRA VENDER MEU RIM PARA PODER IR VER O >>SEVENTEEN<<
943,hm to gata hj ein
944,q merda eh essa amado eu tb quero vamos inteirar a gwnte leva todo dia pra escola
945,É querer mto aparecer não tem outro nome
946,Muito horrível!!! Ele chama Crueldade
947,Eu com meu contatos antigos sou o cão de chato e hoje com os contatos novos eu sou pior do que o cão.. Mas amo mesmo perturbar eles haha 🏼‍♂️
948,mano mt chato
951,"A volta é triste, tô dolorido faz 3 dias já kkkkkk"
954,EU TIVE O SONHO MAIS ESTRANHO DO MUNDO HJ
955,Os baixistas de forró manjam demais e isso é fato
956,Cheguei em casa
958,"Estou estudando, se Deus quiser estarei na EPCAr ano que vem"
959,"Mas isso é relativo, varia de situação para situação"
960,o destino é traiçoeiro
961,kkkkkkkk socorro que coisa mais fofa
962,"To querendo beber, mas tbm to querendo não beber  Mó confusão na minha mente mano"
963,claro que tem meu bb
964,Falta pouco pro meu aniversário kk
965,vc parece o xama
966,"Mas nem sei se vai passar tudo nos canais da BBC, pq vi q o veículo principal vai ser pelo app deles, daí fudeu"
967,Bauern hoje tem que estar suportável pelo menos
968,só tem gente linda nesse fandom eu sou a única feinha ainda bem q n postei nenhuma foto nas tags
969,ninguém prguntou por você
970,"muda pra TIM logo, menina, affe! inclusive se tu falar q é portabilidade e chorar um pouquinho, super baixam o preço"
972,amizade de verdade é quando vocês desmarcam simultaneamente o rolê porque ta todo mundo morto e exausto
973,eu amo a energia do meu pai pqp
974,bobinha kkkkk
975,Aqui tem luz e pizza hahahaha
976,"queria não ter ciúme, af"
977,Mulher independente é outro nível não baixa cabeça pra nenhum filha da puta
978,Não diz que me ama pra eu não me atrasar
980,apaixonada pelos amigos que tenho
981,que vontade de desaparecer
982,"...🥛👉🍑...""leite no pêssego"""
983,"Compro o pacote dia 10, quero ver eu n ir"
984,"Sejam imparciais, vejo todos os dias, gosto de você é do Andreazza,  o resto é  resto."
985,Dormiu pensando que ia só cochila kk apaguei de verdade kk
986,"Carlos tá dormindo já tem três vidas, dorme mais do que eu, misericórdia"
987,você ai
988,Nem acredito que eu chamei aquela garota de amiga AFFF 🤦🏻‍♀️🤷🏻‍♀️😖
989,Rindo muito kkkkkkk
990,Será se alguém que mora na Cohab ou passe por ela vai de carro?
992,tira o tédio assistindo live do matheuszada q vou ta so preciso convencer ele a abrir
993,Finalmente sextou delta
994,Não me chamem no whats pra pedir conselhos amorosos ( claro que eu sempre vou ajudar ) mas me CHAMA PRA TOMAR UM LITRÃO DESGRAAAAAAAAAÇA 🤦🏼‍♂️
996,E nove meses depois ela me deu recado papai do ano
997,"Antes eu me frustrava pq tinha mt amor p dar e ngm disposta a receber, mas hj eu percebo q posso eu mesmo receber meu próprio amor, me cuidar, me agradar, me valorizar e nunca me abandonar"
998,friboiana vai treinar mais china pra ir pra tóquio ao invés de ficar respondendo as pessoas no instagram minha filha
999,Mds tô muito cansada 😴
1000,"Me tornei aquilo que criticava, esperando semanalmente a chegada de episódio novo de JoJo e chorando na abertura"
1001,puts mas é oq tá aparecendo
1002,"nudes é sem graça, melhor vê ao vivo pra tocar"
1004,se até o burro transou com o dragão o q q o @ tá empacando?
1005,gestão omissa que a cada data coleciona silêncio
1006,É O QUEEEE
1007,E a gastança? Como estão as prestações de contas? Povo chato né.  Esse negócio de transparência enche o saco né? Fique esperto cidadão.  Mandato tem fim e com ele acaba o foro privilegiado.
1008,série por isso te amo KKKKKKK
1009,Euu não sou doidaaa 🙄 sou Lorena ??
1010,Kkkk ver fotos e vídeos de blogueiras pra me sentir um lixo de feia kkkkk k kk
1011,"Ia tentar assistir, mas já acabou acho... 4 horas de diferença pra Inglaterra segundo o Google... Amanhã tem Carrie Underwood e Janet Jackson vou ver se dou uma olhada... Tem Lizzo tbm, mas no mesmo horário q Janet, se eu fosse eu ia ficar puta com isso rs"
1012,falou tudo!!!!!
1013,Só pode ser Deus testando minha paciência
1016,"Minha prof de artes acha q td mundo é um Leonardo da Vinci inteiror, pq n é possível"
1017,Queria falar mal da estupidez de uma pessoinha mas ela me segue entao nao posso Estou desolado
1018,Burrice é pleonasmo pra homofóbicos ignorantes igual um cuzao desse.
1019,Seja sua maior prioridade!!!
1020,Querendo demais
1021,Fofoca
1022,nunca mais soube o q é sextar 😏
1023,Festinha na casa da sogra nega laura
1024,"hoje eu assisti #TurmaDaMonicaOfilme e preciso muito que TODOS tbm assistam, sério, filme lindo, engraçado, as crianças estão incríveis, além de ser emocionante, uma bela lição sobre amizade, respeito e cumplicidade, vejam por favor, nós temos um live action e ele é MARAVILHOSO"
1025,então já sabe né?? meu próximo aniversário quero um desse
1026,"a rinite, ela mexe com a cabeça das pessoas"
1027,ninguém gostou da minha música 😔
1028,"acho que to ficando ruim da memoria, não é possível"
1029,quem nunca postou sextou sextou hoje ninguém me acha o celular descarregou não sabe o que é ser um adolescente retardado que sai todo fds pra uma boate diferente pra ser besta
1031,já agradeci ok
1033,Vai dormir
1034,E a @theresa_may que já rodou está no meio da foto e daí?!?
1035,Ela tá doida pra conhecer o meu corre
1036,claro que pode!!
1037,Ah sim óbvio
1038,"Qualquer clube médio europeu tem 12 milhões de euros no bolso pra dar nele, basta olhar o mercado e ver as loucuras que os clubes europeus estão fazendo por jogadores que ainda nem se firmaram. Se até o fim do ano fazer uns gols, não duvido que apareça alguém pagando pela multa"
1040,Realmente 😂😂
1041,gado!!!!
1042,nao sei mais o que fazer
1043,"Séria tão maravilhoso se armys parassem de dar atenção para esses desocupados, um block resolve, essas pessoas querem atenção, e vcs dão!   Eu nem discuto mais, vou no perfil, bloqueio e pronto, pq não sou obrigada a ver isso na minha tl"
1044,Naquele momento eu só fiz um pedido silencioso ali olhando ela sorrindo
1045,"James Rodríguez eh clássico,sou fã"
1046,"Ranço dessa galera que só ver chão onde o(a) namorada(o) pisa, depois quando acontece alguma coisa no relacionamento vem atrás como um cachorro com o rabinho entre as pernas"
1048,nuuuu quero dms
1049,esperando cancelarem comigo pra eu poder dormir
1050,por incrivel que pareça eu to feliz
1051,Kkkk vdd to me sentindo sozinha aq na festinha vc não tá aqui cmg
1052,Kkkk mano ta feião
1053,Alguém faz uma limonada aqui pra mim
1054,"cada dia que passa eu tenho mais nojo do ser humano, de vdd nunca fiquei tão abalada igual eu tô agora, tô me sentindo um lixo"
1055,“É a Mercedes na garupa daquela lambreta?” Hahahaha #Verão90
1057,Folha de São Paulo e Ibope só quem acredita que o LULA é honesto lê
1058,Ue eles terminaram?
1059,Podia voltar verão e martina 🥰
1060,eu usando a mesma combinação de roupa e a mesma maquiagem pela milesima vez esse ano pois essa roupa estranhamente aumenta minha autoestima então vou usá-la ate n poder mais
1061,eu hein 6 sao muito bobo
1063,"Vida de aplicativo não é nada fácil, a gente sai de casa, não sabe se volta, não sabe se vai conseguir fazer dinheiro, fica a Deus dará na rua"
1064,"Olha o público presente, o gramado e a atmosfera na @A_Corinthians. Até parece um outro torneio. Isso sem falar do absurdo que é o preço do ingresso. Imagine se tivesse um valor mais acessível para todos."
1066,Adalgizis  Ta.sem.dinheiro?  Nao reslvo seu problema  Pare de gira cordinha  Nao vida ter conversa
1068,queria tanto sextar
1069,Eu tbmm k
1070,Kkkkkk claro A unica que ela tem Eu acho ksksk
1071,"Quero a série B, não pera aí..."
1072,Espero que fim de semana seja bom
1073,"tô negociando a compra do @If_Bambam e do @If_Jinyoungg é isso, vão tudo para o potinho."
1074,eu preciso dessa figurinha p ontem
1075,"meu irmão, fui tirar um cochilo e quando acordei o avião tava pertinho da água, já pensei ""kkk fudeu"""
1076,Gloria a dios Amen
1077,alguem joga algo cmg
1079,"Tati, corrija: Já Pátria Não existe a acentuação !??  Obrigado."
1081,Finalmente o beijo entre Galdino e Mercedes. Galcedes ou Galcedete? haha #Verao90
1082,É a sua cara
1083,"na carta fala de cada pessoa que vai conviver com ela e o pessoal da família, na minha parte tá assim “sua prima é muito inteligente e vai te ensinar gostar de música como ela” GENTE EU CHOREI MUITO 💖💖💖💖pq ela não mentiu, meu gosto musical é incrivelmente perfeito"
1084,"Ouvindo um funk no máximo e meu tio chega kkkkkkkkkkkkk meu tio lá de roraima, DO NADA, e eu toda bêbada, mds q vergonha"
